問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
"""技術基準で規定されている整圧器に関する次の記述のうち、いずれも誤っているものの組合せはどれか。
 
（イ）浸水のおそれのある地下に設置する整圧器には、浸水を防止するための措置を講じなければならない。

（ロ）ガス中の水分の凍結により整圧機能を損なうおそれのある整圧器には、凍結を防止するための措置を講じなければならない。

（ハ）最高使用圧力が中圧の整圧器には、ガスの漏えいによる火災等の発生を防止するための適切な措置を講じなければならない。

（二）一の使用者にガスを供給するための整圧器には、入口に不純物を除去する装置を設けるとともに、ガスの圧力が異常に上昇することを防止する装置を設けなければならない。

（ホ）整圧器の制御用配管、補助整圧器その他の附属設備は、地震に対し耐えるように支持されていなければならない。""",イ、ロ,イ、ハ,ロ、ホ,ハ、二,二、ホ,,,,,ハ、二
法令で規定されているガス用品及び「特定ガス消費機器の設置工事の監督に関する法律」（以下「特監法」という。）に関する次の記述のうち、誤っているものはどれか。,「ガス用品」とは、主として一般消費者等がガスを消費する場合に用いられる機械器具又は材料（液化石油ガス器具等を除く。）であって政令で定めるものをいう。,「特定ガス用品」とは、構造、使用条件、使用状況等からみて特にガスによる災害の発生のおそれが多いと認められるガス用品であって、開放燃焼式のガス瞬間湯沸器等がある。,特監法の目的は、 特定ガス消費機器の設置又は変更の工事の欠陥に係るガスによる災害の発生を防止するため、これらの工事の事業を行う者の工事の監督に関する義務等を定めることである。,「特定工事」とは、特定ガス消費機器の設置又は変更の工事（経済産業省令で定める軽微なものを除く。）をいう。,経済産業大臣が経済産業省令で定めるところにより行う特定工事に必要な知識及び技能に関する講習の課程を修了した者、及び液化石油ガス設備士は、ガス消費機器設置工事監督者の有資格者である。,,,,,「特定ガス用品」とは、構造、使用条件、使用状況等からみて特にガスによる災害の発生のおそれが多いと認められるガス用品であって、開放燃焼式のガス瞬間湯沸器等がある。
"""法令で規定されている消費機器に関する調査、保安業務規程及びガス事業者間の連携協力に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）ガス小売事業者は、調査の結果、消費機器が経済産業省令で定める技術上の基準に適合していないと認めるときは、速やかにその使用を禁止しなければならない。

（ロ）ガス小売事業者は、保安業務規程を変更したときは、遅滞なく、変更した事項を経済産業大臣に届け出なければならない。

（ハ）経済産業大臣は、保安業務の適正な実施を確保するため必要があると認めるときは、保安統括者に対し、保安業務規程を変更すべきことを命ずることができる。

（二）ガス小売事業者及びその従業者は、保安業務規程を守らなければならない。 

（ホ）ガス事業者は、公共の安全の維持又は災害の発生の防止に関し、相互に連携を図りながら協力しなければならない。""",イ、ロ,イ、ハ,ロ、二,ハ、ホ,二、ホ,,,,,イ、ハ
"""法令で規定されている消費機器の技術上の基準に関する次の記述のうち、（イ）〜（ホ）にあてはまる数値及び語句の組合せとして最も適切なものはどれか。

次に掲げる燃焼器（屋内に設置するものに限り、（イ） のものを除く。）には当該燃燒器に接続して排気筒を設けること。ただし、当該燃焼器の構造上その他の理由によりこれによ ることが困難な場合において、当該消費機器のための、 （口） を設けるときは、この限りでない。

ガス調理機器（ガスの消費量が12kWを超えるもの）
（ハ） （暖房兼用のものを含み、ガスの消費量が12kWを超えるもの）
（二） （暖房兼用のものを含み、 ガスの消費量が7kWを超えるもの）
ガス常圧貯蔵湯沸器（ガスの消費量が7kWを超えるもの）
ガスふろがま 
ガスストーブ（ガスの消費量が7kWを超えるもの）
ガス衣類乾燥機（ガスの消費量が（ホ）kWを超えるもの）""
",・密閉燃燒式　　・専用の排気口　　・ガス貯湯湯沸器　　・ガス瞬間湯沸器　　・７,・密閉燃燒式　　・排気フード　　・ガス貯湯湯沸器　　・ガス瞬間湯沸器　　・１２,・密閉燃燒式　　・排気フード　　・ガス瞬間湯沸器　　・ガス貯湯湯沸器　　・１２,"・強制排氣式　　・排気フード　　・ガス貯湯湯沸器　　・ガス瞬間湯沸器　　・７
",・強制排氣式　　・専用の排気口　　・ガス瞬間湯沸器　　・ガス貯湯湯沸器　　・７,,,,,・密閉燃燒式　　・排気フード　　・ガス瞬間湯沸器　　・ガス貯湯湯沸器　　・１２
ボンベから、流量6.72㎥/hで30分間気体を使用すると、質量が2.4kg減少した。ボンベに入っていた気体として、次のうち、最も適切なものはどれか。ただし、気体は理想気体とし、流量は標準状態（温度0℃、圧力101325Pa）における値とする。,水素,メタン,エタン,プロパン,酸素,,,,,メタン
"""温度27℃、圧力240kPaのメタンの体積が415Lであるとき、このメタンの質量(kg)として、最も近い値はどれか。
ただし、メタンは理想気体とし、気体定数R=8.3J/ (mol・K)とする。""",0.064,0.32,0.64,3.2,6.4,,,,,0.64
実在気体に関する次の記述のうち、誤っているものはどれか。,二酸化炭素及び窒素は、常温で圧力を高くするのみで液化することができる。,臨界温度より高い温度では、圧力をどれほど高くしても気体を液化することはできない。,臨界点の近傍では、臨界タンパク光と呼ばれる特異な現象が見られる。,臨界温度及び臨界圧力を超えた温度及び圧力のガスを、超臨界ガスという。,ファン・デルワールスの状態式は、分子間引力と気体分子の体積を考慮して理想気体の状態方程式を補正した式である。,,,,,二酸化炭素及び窒素は、常温で圧力を高くするのみで液化することができる。
"""容積一定の容器に入れた温度20℃の窒素1.0kmo1を、120℃になるまで加熱した。このとき 窒素に加えた熱量(kJ)として、最も近い値はどれか。
ただし、加えた熱はすべて窒素の温度 上昇に用いられるものとし、窒素の定積比熱容量 Cy=0.75kJ/(kg・K)とする。""",500,1100,2100,2500,3200,,,,,2100
気体の熱力学に関する次の記述のうち、誤っているものはどれか。,モル熱容量とは、物質1molの温度を1K上昇させるのに必要な熱量である。,理想気体では、定圧条件において温度を上昇させるとエントロピーは減少する。,エントロピーは状態量であり、系がある状態から別の状態に移るときのエントロピー変化は、変化前後の状態のみで決まる。,ジュール・トムソン膨張では、系のエンタルピーは一定に保たれる。,定圧モル熱容量と定積モル熱容量の比を比熱比という。,,,,,理想気体では、定圧条件において温度を上昇させるとエントロピーは減少する。
化学反応に関する次の記述のうち、誤っているものはどれか。,触媒は反応速度を増加させる機能を持つが、反応の進行する方向を変えることはない。,不均一触媒反応のうち、固体触媒による反応を接触反応という。,還元反応とは、対象とする物質が電子を受け取る化学反応である。,一次反応の反応速度は、反応物質の濃度に反比例する。,反応熱は、反応の始状態と終状態のみで決まり、反応の経路によらない。,,,,,一次反応の反応速度は、反応物質の濃度に反比例する。
一次反応において、反応物質の濃度が初期濃度の12.5%になるまでに要する時間は、初期濃度の50%になるまでに要する時間の何倍になるか。次のうち、最も近い値はどれか。,1,2,3,4,5,,,,,3
プロパン1㎥を空気比1.2で完全燃焼させるのに必要な空気量 （㎥）として、 最も近い値はどれか。ただし、気体は標準状態（温度0°C、圧力101325Pa）とし、 空気中の窒素と酸素の体積比は4:1とする。,6,12,20,25,30,,,,,30
理論空気比の空気によって完全燃焼させた。このとき発生する湿り燃焼ガス中の 水蒸気の濃度 （vo1%）として、最も近い値ほどれか。ただし、空気中の窒素と酸素の体積比は4:1とする。,18,20,25,33,67,,,,,18
断面積10cmの直円管内に流体を平均流速2.1m/s で流したときの質量流量（kg/s）として、最も近い値はどれか。ただし、流体の密度は420kg/m2とする。,0.5,0.9,5,9,50,,,,,0.9
直円管内の完全に発達した流れに関する次の記述のうち、最も不適切なものはどれか。,層流では、平均流速は中心での最大流速の半分に等しい。,層流における管内の圧力損失は、平均流速に比例する。,層流から流速を上げていくと、 乱流へ遷移する。,乱流における管摩擦係数は、管壁面の粗さに依存する。,乱流の速度分布は放物線であり、管中心で最大速度になる。,,,,,乱流の速度分布は放物線であり、管中心で最大速度になる。
平均熱伝導率 2W/（m・K）の平板の耐火レンガの高温側の表面温度が1300℃、低温側の表面温度が900℃、 熱流束が4kW/m2であるとき、耐火レンガの厚さ（cm）として、最も近い値はどれか。,5,10,13,15,20,,,,,20
熱交換器において、高温流体の入口温度は150℃、出口温度は45℃であった。また低温流体の入口温度は30℃、出口温度は120℃であった。このときの高温流体の温度効率(%)として、最も近い値はどれか。,58,70,80,88,94,,,,,88
"""構造物の許容応力の判定の際には、材料の種類や使用状況に応じて適切な基準強さを選択することが重要である。（イ）〜（ハ）のそれぞれの使用状況における基準強さの組合せとして、最も適切なものはどれか。

(イ)繰り返し応力を受けるとき

(口)延性材料が常温で静荷重を受けるとき

(ハ)高温で静荷重を受けるとき""",破壊強さ 　　疲労限度　　降伏点又は耐力,破壊強さ　　降伏点又は耐力　　クリープ限度又はクリープ破壊応力,疲労限度　　破壊強さ　　降伏点又は耐力,疲労限度　　降伏点又は耐力　　クリープ限度又は クリープ破壊力,クリープ限度又はクリーブ破壊応力　　降伏点又は耐力　　破壊強さ,,,,,疲労限度　　降伏点又は耐力　　クリープ限度又は クリープ破壊力
クリープに関する次の記述のうち、誤っているものはどれか。,クリープは応力が小さいほど顕著に現れる。,クリープが起こると、材料は引張強さよりも小さな応力で破壊する。,クリープは温度が高いほど顕著に現れる。,高分子材料のクリープは常温でも起きる。,炭素鋼にモリブデンを添加すると、高温クリープ強さを高める効果がある。,,,,,クリープは応力が小さいほど顕著に現れる。
"""都市ガスの原料に関する次の記述のうち、いずれも誤っているものの組合せはどれか。
 
（イ）メタンは、すべての温度領域において、常温の空気よりも軽い。

（ロ）液撃は、弁の閉鎖やポンプの急停止等の急激な変化によって、配管内流体の運動エネルギの一部が圧力エネルギーに変換され、流体の圧力が低下することにより起こる。

（ハ）LNGは、貯蔵中に外部からの入熱により沸点の低いメタンを主成分とするボイルオフガス（BOG）が発生するため、被密度が高くなる。

（二）LNGローリーやLNGコンテナは、真空断熱方式の二重殻式横置円筒型の超低温容器を有し、道路輸送や鉄道輸送が可能である。

（ホ）LNGは水と反応して氷に似た水和物を生成するため、配管の閉そく等のトラブルを起こさないよう、LNGを取り扱う前に機器内を十分乾燥することが必要である。""",イ、ロ,イ、ハ,口、二,ハ、ホ,二、ホ,,,,,イ、ロ
"""都市ガスの製造設備に関する次の記述のうち、いずれも正しいものの組合せはどれか。 

（イ）LNGサテライト基地におけるLNGローリー等からLNG貯槽への受入作業では、LNG サテライト基地側又はLNGローリー等に設けられたLNGポンプを使用して行われる。

（ロ）回転式スクリュー型のBOG圧縮機の容量調整は、アンローダー弁操作により容易に連続調整が可能である。

（ハ）ミキシングホルダーは、製造ガスを混合し、供給ガスの成分、熱量及び燃焼性を均一化させる機能を有する。

（二）エアフィン式気化器は、気化器出口のガス温度が外気温以下となることがあり、寒冷地等 では冬期の気化器出ロガス温度低下対策として、気化器の後流にNG加温器を設置する等の措置が必要となる場合もある。

（ホ）弁により液が配管中に封じ込められるおそれのあるところには、必要に応じて液の異常圧力降下を防ぐための措置を講ずる。"" ",イ、ロ,イ、二,口、ホ,ハ、二,ハ、ホ,,,,,ハ、二
"""電気計装設備に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）ブルドン管式圧力計は、ブルドン管の機械的な変位量を利用するもので、一般に高圧測定には不向きである。

（ロ）オリフィス式流量計は直管部を設ける必要があるが、カルマン渦式流量計は直管部を設ける必要がない。

（ハ）熱電対はゼーベック効果を利用したもので、基準接点の温度を一定に保つ必要があり、広範囲の温度測定が可能で、振動・衝撃にも強い。

（二）UPSは、交流入力を整流部で直流に変換し、蓄電池に充電するとともに、インバーター部で一定電圧、一定周波数の交流に変換後出力する装置である。

（ホ）PID制御のP動作とは、目標値とプロセス値の偏差の大きさに比例する制御動作をする もので、この動作だけではオフセットが残る。""",イ、ロ,イ、ハ,ロ、二,ハ、ホ,二、ホ,,,,,イ、ロ
"""LNGが気化した天然ガスをLPGで増熱して45MJ/㎥Nの供給ガスを1000㎥N製造する場合の天然ガスの使用量(㎥N)として最も近い値はどれか。
ただし、天然ガス及びLPGの発熱量は以下のとおりとする。（㎥N：標準状態におけるガスの体積)

天然ガスの発熱量（MJ/㎥N）　　40

LPGの発熱量(MJ/㎥N)　　          100"" ",714,800,817,900,917,,,,,917
"""都市ガスの付臭に関する次の記述のうち、いずれも誤っているものの組合せはどれか。
 
（イ）ガスに付臭剤を注入する方式は、大別して液体注入方式、蒸発方式及び付奥方式の3種類がある。

（ロ）滴下注入方式は、注入量の調整をニードル弁等によって行うが、手動式の場合はその精度 は低いため、流量変動の少ない小規模の付臭設備に多く用いられる。

（ハ）付臭剤に求められる要件として、ガスの供給系統を腐食せずに安定性のよいものであることや、腐食疲労を起こしにくいことなどがある。

（二）臭気濃度とは、試料ガスを無臭の空気で徐々に希釈し、感知できる最大の希釈倍数をいう。

（ホ）付臭は、ガスの漏えいを早期に検知するためのものであり、臭気濃度が高すぎても特に問題は生じない。""",イ、ロ,イ、ハ,口、二,ハ、ホ,二、ホ,,,,,ハ、ホ
"""製造所の地震対策に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）ガス事業における地震対策は、1設備対策、2緊急対策、3復旧対策で構成される。

（ロ）設備対策は、設備の重要度に応じた耐震設計を行い、耐震性能の維持を図るための定期的な維持管理を行うことが基本である。

（ハ）緊急対策は、地震発生時の設備の緊急停止を防止し、ガス送出を継続することが基本である。

（二）地震発生直後の設備点検では、まずは、個別の機器ごとに詳細な点検を実施する。

（ホ）復旧対策において、原料・燃料や水等のユーティリティーは平常時より備蓄を確保するとともに、その調達ルートをあらかじめ確立しておくことが望ましい。""",イ、ロ,イ、ホ,ロ、ハ,ハ、二,二、ホ,,,,,ハ、二
"""製造設備の建設及び操業に関する次の記述のうち、いずれも誤っているものの組合せはどれか。
 
（イ）レベル2地震動に対する耐震設計の考え方は、「構造物に変形は生じるが、倒壊、漏えいは生じず、人身事故を防止」することである。

（ロ）稼働調整方式である流量制御方式は、設備負荷を一定に保つことができ、かつ急激な需要変動に追従できる制御方式である。

（ハ）ガス主任技術者は、保安上重要なガス工作物を溶接する場合、溶接施工記録に問題がないことを確認しなければならない。

（二）製造設備に係る巡視点検は、保安規程に定める内容と製造所の操業実態にあわせて実施するが、その巡視点検結果を記録する必要はない。

（ホ）製造設備を安全かつ円滑に運転するため、あらかじめ運転管理基準、運転操作要領等を作成し、それに従って関係者の教育・訓練を実施する。""",イ、ハ,イ、ホ,ロ、ハ,ロ、二,二、ホ,,,,,ロ、二
"""製造設備の保全に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）引張応力発生下にある金属に腐食作用が働いて、破断応力以下でも割れが生じる現象を応力腐食割れという。

（ロ）粒界腐食とは、ステンレス鋼等不動態皮膜を持つ金属が非金属物質と面を接していたり、異物が付着していたりすると、接触面や異物との間にできるすきま部分に局部腐食が生じる現象をいう。

（ハ）放射線透過試験は、欠陥の形状をフィルム上に投影された像としてみることができ、場所的な制約もなく、わかりやすく直観性がある検査である。

（ニ）故障しても影響の少ない設備や代替設備がある場合、経済性を考慮して故障発生後に設備を運用可能な状態に回復する保全を事後保全という。

（ホ）浸透探傷試験は、金属、非金属あらゆる材料の表面欠陥を調べることができる。""",イ、ハ,イ、ホ,ロ、ハ,ハ、二,二、ホ,,,,,ロ、ハ
"""環境対策に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）窒素酸化物はノックス（Nox）といい、 燃料中に含まれる各種窒素化合物の燃焼により生成するものと、空気中の窒素が燃焼による高温状態で酸化されて生成するものとがあり、前者をサーマルNOXという。

（ロ）ばいじんとは、燃料等の燃焼に際して発生する、灰分又はすす等の固形物のことをいい、燃焼温度、空気比の適正な管理等の燃焼管理を強化することにより発生量を減少させることができる。

（ハ）都市ガス事業者にとって、環境問題への対応は、企業の社会的責任（CSR）として大きな柱になってきている。

（二）交流回路における電力（W）は、電圧（V）×電流（A）×力率で示され、力率が1に近いほど損失が少ない。

（ホ）廃棄物の処理及び清掃に関する法律に定義された産業廃棄物に該当しない廃棄物は、すべて特別管理産業廃棄物になる。"" ",イ、ロ,イ、ホ,ロ、ハ,ハ、二,二、ホ,,,,,イ、ホ
"A点からB点に低圧のガス100㎥/hを供給する導管AB（口径10cm、延長200m）がある。このとき、A点の圧力2.3kPa、B点の圧力2.1kPaであった。
新たにC点にガス400㎥/hを供給することとなり、導管AC（口径20cm、 延長400m）を新設した。A点の圧力2.3kPaのとき、C点の圧力（kPa）として最も近い値はどれか。なお、高低差は考慮しないものとする。",1.7,1.8,1.9,2,2.1,,,,,2.1
整圧器に関する次の記述のうち、誤っているものはどれか。,圧力上昇防止装置は、整圧器の故障により、二次側の圧力が異常に上昇することを防止するために用いられる。,直動式整圧器におけるメインバルブシートの不具合により、二次圧力が異常上昇した。,整圧器能力不足により、二次圧力が異常低下した。,フィルターのダスト類の詰りにより、二次圧力が異常低下した。,直動式整圧器におけるメインバルブへのダスト類のかみ込みによる締め切り不良により、二次圧力が異常低下した。,,,,,直動式整圧器におけるメインバルブへのダスト類のかみ込みによる締め切り不良により、二次圧力が異常低下した。
ガスメーターに関する次の記述のうち、誤っているものはどれか。,マイコンメーターはメーターに流れるガスの流量を監視し、あらかじめ設定した条件によって異常と判定した場合、自動的にガスを遮断する機能を備えている。,使用最大流量が16㎥/hのガスメーターの検定有効期間は、検定を受けた翌月1日から起算して10年である。,ガスメーターが計量法の規定による検定を受ける際の検定公差は、流量によらず±1.5%である。,"ガスメーターとしての必要条件の一つに、小型で容量が大きいことがある。
",ガスメーターの種類のうち超音波式は、流量を推測計量するものである。,,,,,ガスメーターが計量法の規定による検定を受ける際の検定公差は、流量によらず±1.5%である。
口径400mmの鋼管を用い、長さ50mで両端固定された架管を冬期（管体温度は-10℃）に設置することになった。夏期に架管全体の温度が40℃になるときに生じる応力を、架管途中に設けた伸縮継手で対処する場合、設計変位量（mm)として最も近い値はどれか。ただし、導管の線膨張係数は1.2×10⁻⁵ （1/℃）、内圧は0.3（MPa）、 ヤング率は2.1×10⁵（N/㎟）とする。,9,24,30,40,126,,,,,30
腐食と防食に関する次の記述のうち、誤っているものはどれか。,建物に引き込まれた配管は、ミクロセル腐食の原因となるコンクリートに接触する機会が多いため、一般に埋設配管部近くの架空配管部に絶縁継手を設置する。,防食設備の点検は、雨期等の土壌の湿潤期や電気鉄道の運行時等、防食状況の悪い時期や時間帯を選んで行うことが望ましい。,電解質中の鉄とマグネシウムを接続すると、自然電位がプラス側の鉄がカソードとなり、マグネシウムがアノードとなる。,管対地電位の測定では、照合電極は通常、飽和硫酸銅電極が用いられ、散水で土壌等との接地抵抗を下げて設置する。,選択排流法、 強制排流法のいずれの方式も、他の金属構造物への干渉及び過防食を考慮する必要がある。,,,,,建物に引き込まれた配管は、ミクロセル腐食の原因となるコンクリートに接触する機会が多いため、一般に埋設配管部近くの架空配管部に絶縁継手を設置する。
導管の工事に関する次の記述のうち、誤っているものはどれか。,電気防食を施した鋼管の切断にあたっては、火花が出ないように電気防食施設の電源を切っておき、さらに切断予定箇所の両端を短絡させる。,導管工事の着工準備にあたっては、資機材に不足のないように確認するとともに、掘削機械、ポンプ、転圧機、保安設備等の整備・点検を行う。,酸素欠乏のおそれのある場所において作業を行う場合は、異常時に直ちに応急措置及び関係者への通報ができるよう作業を2人以上で行う。,溶接部等の放射線透過試験を行う場合は、非破壊試験技術者を選定しなければならない。,"非開削工法の特徴の一つは、路上工事の縮減により交通への影響を低減できることである。
",,,,,溶接部等の放射線透過試験を行う場合は、非破壊試験技術者を選定しなければならない。
"""溶接と非破壊試験に関する次の記述のうち、いずれも正しいものの組合せはどれか。

（イ）被覆アーク溶接棒の心線は、大気中に放置すると水分を吸収し、 ブローボール等の欠陥の原因となる。

（ロ）溶接施工法は、溶接事業所又は工場ごとに確認を受けなければならない。

（ハ）被覆アーク溶接とは、溶接棒と母材との間にアークを発生させ、その熱によって溶接棒のみを溶かすことにより溶接を行うものである。

（二）磁粉探傷試験は、表面付近のきずの発見法として、非常に簡便であり、表面から数mm以内のきずの高さを容易に測定できる。

（ホ）本開先不良は、溶込み不良や割れ等の原因となる。""",イ、ハ,イ、ホ,ロ、二,ロ、ホ,ハ、二,,,,,ロ、ホ
"""ガス導管の維持管理に関する次の記述のうち、いずれも正しいものの組合せはどれか。

（イ）支管供給管一括採水装置は、初期採水は強力なバキューム圧を発生するエジェクターを使用し、後期採水はピグを使用し管内の水たまりを移動させ、完全に排水させる。

（ロ）スプレーシール工法は、ガス栓等からシール剤を噴射することで管内面に膜を形成し、腐食漏えい箇所を修理する工法である。

（ハ）水素炎イオン化式ガス検知器は、水素炎の中に炭化水素が入ると、炎の電気伝導度が増大する現象を利用したもので、H2, CO等は検出できない。

（二）マッピングシステムは、地図情報、本支管等設備の位置や管理情報（口径、管種等）、地域管理情報をレイヤーに区分しデータベース化したシステムであり、様々な業務に活用できる。

（ホ）パイプロゲーターは、誘導法の方が直接法より精度的に優れている。""",イ、ハ,イ、ホ,口、二,口、ホ,ハ、二,,,,,ハ、二
"""地震により低圧導管の供給を停止した地域の復旧作業の基本フローとして最も適切なものはどれか。

　　A：復旧ブロック化
　　B：本支供灯外内管のエアパージ 
　　C：供給管切断 
　　D：灯内内管の漏えい検査・修理 
　　E：本支供灯外内管のテスト昇圧 
　　F：本支供灯外内管の差水箇所修理・採水 
　　G：本支供灯外内管の漏えい調査・漏えい修理 """,閉栓→E→A→B→C→D→E→F→G→開栓,閉栓→A→C→F→E→G→E→B→D→開栓,閉栓→A→C→F→B→E→G→E→D→開栓,閉栓→B→A→C→F→E→G→E→D→開栓,閉栓→E→G→F→A→C→E→B→D→開栓,,,,,閉栓→A→C→F→E→G→E→B→D→開栓
燃焼時の諸現象及びガスとガス機器の適応に関する次の記述のうち、誤っているものはどれか。,可燃性混合ガスは、温度が一定であれば、圧力が上昇すると燃焼範囲は広くなる。,サーマルNOxの生成量は、燃焼ガス温度の高い、空気比1付近で最大となり、滞留時間が長いほど多く生成する。,"不完全燃焼の原因には、空気との接触や混合が不十分、排気の排出不良等がある。
",ブンゼン燃焼の炎口負荷には、一定の許容幅があり、炎口負荷の適正値は、燃焼速度の遅いガスでは大きく、速いガスでは小さくなる。,ガスの燃焼速度指数（MCP）が小さくなり、ガス機器の互換域を外れた場合、リフティングが発生する。,,,,,ブンゼン燃焼の炎口負荷には、一定の許容幅があり、炎口負荷の適正値は、燃焼速度の遅いガスでは大きく、速いガスでは小さくなる。
"""赤火燃焼式に関する次の記述のうち、（イ）~（ハ）にあてはまる語句の組合せとして最も適切なものはどれか。

　　赤火燃燒式　　空気割合（一次空気）　0%　　空気割合（二次空気）　100%　
　　炎の色　（イ）　　炎の長さ　（ロ）　　炎の温度（°C）　（ハ）""",（イ）　赤　（ロ）　長い　（ハ）　約1300,（イ）　赤　（ロ）　短い　（ハ）　約1300,（イ）　赤黄　（ロ）　長い　（ハ）　約1300,（イ）　赤黄　（ロ）　短い　（ハ）　約900,（イ）　赤黄　（ロ）　長い　（ハ）　約900,,,,,（イ）　赤黄　（ロ）　長い　（ハ）　約900
"家庭用ガス機器に関する次の記述のうち、誤っているものはどれか。

*省エネ法とは、「エネルギーの使用の合理化等に関する法律」をいう。 ",ガスこんろの熱効率は、省エネ法*に基づくトップランナー基準の導入以降、炎の広がりを抑える、鍋底との距離を近づける等の改良により向上した。,ガスオーブンは、熱風をファンによって強制的に撹拌しているため、調理時間が早く、一度に多量の調理ができる。,FF暖房機には、立ち消え安全装置、点火時安全装置、転倒時安全装置等の安全装置が搭載されている。,ファンヒーターでは、設定温度とセンサーで検知した室温との温度差分を電気量に変換することで比例弁を駆動させ、ガス量に比例して対流ファン風量を制御する。,回転ドラム式衣類乾燥機には、接触した衣類の抵抗値を測定して、湿り具合を判断する乾燥センサーが搭載されている。,,,,,FF暖房機には、立ち消え安全装置、点火時安全装置、転倒時安全装置等の安全装置が搭載されている。
家庭用ガス温水機器に関する次の記述のうち、誤っているものはどれか。,10号の瞬間湯沸器は、水温20℃の水を45℃へ上昇させたお湯を毎分10L出せる能力を有している。,自己診断機能には、給気ファンの回転数と電圧値を計測し、給排気通路の閉そく状態を診断する方法がある。,給湯負荷に応じて最適な燃焼になるように、ガス量と空気量を制御することを空燃比制御 という。,浴室暖房乾燥機の主要4機能とは、暖房、乾燥、涼風及び換気である。,ふろ給湯器の設置方式には、設置フリー形があり、ポンプの揚程により設置位置を選択できる。,,,,,自己診断機能には、給気ファンの回転数と電圧値を計測し、給排気通路の閉そく状態を診断する方法がある。
業務用ガス機器、ガス冷暖房及びコージェネレーションシステムに関する次の記述のうち、誤っているものはどれか。,麺ゆで器の丸釜式には、ダウンドラフト方式により、省エネルギー性を高めたタイプがある。,ガススチームコンベクションオーブンのバーナーは、ブンゼン燃焼方式とパルス燃焼方式 のものがあり、蒸気発生部にはボイラー方式とインジェクション方式がある。,吸収冷凍機の吸収冷凍サイクルは、蒸発、吸収、再生及び凝縮の各工程からなり、蒸発工程で作られる冷水を用いて冷房する。,コージェネレーションシステムの電主熱従運転は、電力の負荷に合わせて発電し、廃熱はできるだけ利用し、もし余れば放熱する方法である。,家庭用固体酸化物形燃料電池（SOFC）の発電効率は、家庭用ガスエンジンコージェネレーションシステムの発電効率より高い。,,,,,ガススチームコンベクションオーブンのバーナーは、ブンゼン燃焼方式とパルス燃焼方式 のものがあり、蒸気発生部にはボイラー方式とインジェクション方式がある。
換気及び給排気方式に関する次の記述のうち、 誤っているものはどれか。,機械換気の方法には、換気扇等のファンを、給気口に設置する第2種換気や、排気口に設置する第3種換気がある。,建築基準法により、火気を使用する台所等には、必ず法令で定められた換気設備を設けなければならない。,集合住宅において、パイプシャフトの扉部にはRF式機器が、パイプシャフト内部（壁面）にはFF式機器が設置される。,CF式機器の一次排気筒は、設置環境に応じて長さを調整する必要がある。,RF式機器の設置工事は、ガス消費機器設置工事監督者の監督下で施工する必要はない。,,,,,CF式機器の一次排気筒は、設置環境に応じて長さを調整する必要がある。
ガス機器の制御装置及び安全装置に関する次の記述のうち、 誤っているものはどれか。,温水機器の空だき防止装置には、バイメタル式とサーミスター式がある。,温度制御に用いられるサーミスターは、金属の酸化物を2種類以上混合、焼結したもので、負の温度特性を持ちその値は等比的に変化する。,立ち消え安全装置には、熱起電力を利用して炎の検知を行う熱電対式と、炎の導電性と整流性を利用して炎の検知を行うフレームロッド式がある。,過熱防止装置として利用される温度ヒューズは、取り付け部分の雰囲気温度が異常に高くなった場合に回路を遮断し、再起動するには交換しなければならない。,ガス量を制御する方式には、段階的にガス量を制御する多段式と、連続的にガス量を制御する比例制御式がある。,,,,,温水機器の空だき防止装置には、バイメタル式とサーミスター式がある。
警報器に関する次の記述のうち、誤っているものはどれか。,ガス警報器は、 メタン濃度が0.2~0.5%程度で鳴り始めるよう調整されているものが多い。,電池式ガス警報器には、火災警報機能や不完全燃焼警報機能を搭載したものがある。,半導体式ガス警報器は、センサーに可燃性ガスが触れるとその表面に化学吸着して、半導体の電気伝導度が低下する性質を利用してガスを検知する。,業務用換気警報器に用いられる電気化学式センサーの構造及び原理は、ほぼ燃料電池と同様である。,"業務用換気警報器は、 ガス機器から水平距離は50cm以上8m以内で、 ガス機器が設置してある部屋と同一の室内に設置しなければならない。
",,,,,ゴム管用ソケットは、ガスソフトコードに取り付けて使用し、コンセントロのガス栓又はガス栓用プラグと接続する迅速継手である。
ガス機器とガス栓との接続に関する次の記述のうち、誤っているものはどれか。,常設形ガス機器のガス栓は、ガスコンセントやオンオフヒューズガス栓を用いる。,常設形業務用厨房機器とガス栓との接続には、金属可とう管が使用されている。,ゴム管用ソケットは、ガスソフトコードに取り付けて使用し、コンセントロのガス栓又はガス栓用プラグと接続する迅速継手である。,ガスコンセントでは、迅速継手が不完全に接続された場合でも、ガスは流れず漏れない。,ガスコードは、鋼線で補強されたゴム製ホースの両端に迅速継手がついた定尺の接続具で、ガスコンセントとファンヒーター等との接続に用いられる。,,,,,常設形ガス機器のガス栓は、ガスコンセントやオンオフヒューズガス栓を用いる。
